symbol,quotedate,iv30call,iv30put,iv30mean,callvol,putvol,calloi,putoi
DF,8/15/2019,1.2984,1.2347,1.2666,452,178,26596,24987
DFE,8/15/2019,0.2003,0.1913,0.1958,0,0,44,35
DFEN,8/15/2019,0.6347,0.6825,0.6586,20,2,353,255
DFIN,8/15/2019,1.2339,0.6800,0.9570,0,0,558,226
DFJ,8/15/2019,0.1792,0.1782,0.1787,0,0,3,0
DFRG,8/15/2019,0.0441,0.4483,0.2462,0,4,12958,11365
DFS,8/15/2019,0.2727,0.2769,0.2748,927,379,21758,22794
DG,8/15/2019,0.3502,0.3433,0.3468,1927,1169,29306,32464
DGICA,8/15/2019,0.4908,0.3120,0.4014,0,0,8,20
DGII,8/15/2019,0.0000,0.0000,0.0000,4,12,2837,261
DGL,8/15/2019,0.2428,0.2507,0.2467,0,0,57,4
DGLY,8/15/2019,0.0000,0.0000,0.0000,0,0,1352,3
DGRO,8/15/2019,0.1544,0.1851,0.1698,0,9,111,63
DGRW,8/15/2019,0.2355,0.2300,0.2328,6,1,116,134
DGS,8/15/2019,0.2021,0.2039,0.2030,0,8,128,172
DGX,8/15/2019,0.2234,0.2220,0.2227,1609,229,9936,8514
DHI,8/15/2019,0.3044,0.2987,0.3016,2938,1287,80944,53308
DHR,8/15/2019,0.2442,0.2454,0.2448,189,672,21202,20103
DHT,8/15/2019,0.3609,0.4523,0.4066,101,8,22038,1595
DHX,8/15/2019,0.6217,0.5815,0.6016,3,0,201,361
DIA,8/15/2019,0.1944,0.2069,0.2006,42709,30874,280337,242166
DIG,8/15/2019,0.5283,0.4956,0.5120,5,1,411,485
DIN,8/15/2019,0.4209,0.4684,0.4446,104,51,2873,7242
DIOD,8/15/2019,0.4719,0.4536,0.4628,20,4,4562,43097
DIS,8/15/2019,0.2395,0.2307,0.2351,25792,16513,619869,381130
DISCA,8/15/2019,0.3564,0.3450,0.3507,631,1042,44398,36052
DISCK,8/15/2019,0.3515,0.3375,0.3445,37,194,6299,6379
DISH,8/15/2019,0.4461,0.4344,0.4402,321,515,162496,161820
DJP,8/15/2019,0.1497,0.1519,0.1508,1,0,159,85
DJX,8/15/2019,0.1945,0.2087,0.2016,1035,1848,47770,51472
DK,8/15/2019,0.4556,0.5041,0.4798,240,74,20041,7874
DKL,8/15/2019,0.2890,0.3370,0.3130,7,24,1203,503
DKS,8/15/2019,0.5532,0.6087,0.5810,2799,2243,44945,20995
DL,8/15/2019,0.6156,0.3991,0.5074,0,5,52,59
DLB,8/15/2019,0.2614,0.2563,0.2589,25,15,3997,823
DLN,8/15/2019,0.1558,0.2152,0.1855,0,0,33,0
DLNG,8/15/2019,0.0000,0.0000,0.0000,0,0,2522,443
DLPH,8/15/2019,0.6364,0.6460,0.6412,140,113,24265,19931
DLR,8/15/2019,0.1989,0.2501,0.2245,283,203,7754,9716
DLS,8/15/2019,0.1469,0.1469,0.1469,0,0,82,0
DLTH,8/15/2019,0.7651,0.7100,0.7375,39,40,1696,1199
DLTR,8/15/2019,0.3230,0.4074,0.3652,571,1046,43868,47032
DLX,8/15/2019,0.2862,0.3616,0.3239,7,10,1218,1019
DMLP,8/15/2019,0.1840,0.2402,0.2121,5,10,315,303
DMRC,8/15/2019,0.7279,0.7073,0.7176,15,41,13291,4622
DNKN,8/15/2019,0.2366,0.2649,0.2508,2608,438,15207,7402
DNLI,8/15/2019,0.7860,0.8496,0.8178,23,43,2331,1089
DNN,8/15/2019,0.0000,0.0000,0.0000,0,0,233,0
DNOW,8/15/2019,0.4619,0.4343,0.4481,0,0,6214,2930
DNR,8/15/2019,1.2473,1.2639,1.2556,403,23,150651,27693
DO,8/15/2019,0.8625,0.8614,0.8620,315,3415,22479,39752
DOC,8/15/2019,0.2586,0.1660,0.2123,26,32,780,1116
DOCU,8/15/2019,0.5325,0.5327,0.5326,3020,1388,63355,33689
DOG,8/15/2019,0.2037,0.2054,0.2046,84,33,1775,243
DOMO,8/15/2019,0.9222,0.9182,0.9202,246,260,8445,4878
DON,8/15/2019,0.2193,0.2509,0.2351,0,0,116,85
DOOR,8/15/2019,0.3907,0.3574,0.3740,2,5,39,741
DORM,8/15/2019,0.3369,0.3348,0.3358,0,3,806,1611
DOV,8/15/2019,0.2407,0.2785,0.2596,69,17,2760,4720
DOVA,8/15/2019,0.6704,0.6506,0.6605,52,5,2955,2156
DOW,8/15/2019,0.3411,0.3546,0.3478,2283,786,61465,26186
DOX,8/15/2019,0.2023,0.1889,0.1956,1,3,2326,289
DOYU,8/15/2019,1.6260,0.9968,1.3114,325,32,680,206
DPK,8/15/2019,0.4978,0.5309,0.5144,0,0,39,35
DPLO,8/15/2019,0.5900,0.6313,0.6106,66,10,8631,4962
DPZ,8/15/2019,0.3299,0.3358,0.3328,3034,1162,26355,25370
DQ,8/15/2019,0.6732,0.6878,0.6805,27,25,1704,1074
DRD,8/15/2019,0.6748,0.6808,0.6778,132,366,2614,98
DRE,8/15/2019,0.3831,0.2685,0.3258,3,0,276,22
DRH,8/15/2019,0.5262,0.5927,0.5594,0,0,14,79
DRI,8/15/2019,0.3278,0.3297,0.3288,326,174,14525,7255
DRIP,8/15/2019,1.1185,1.3091,1.2138,527,153,5018,3260
DRN,8/15/2019,0.4592,0.4886,0.4739,12,20,1329,796
DRNA,8/15/2019,0.6059,0.6141,0.6100,9,15,494,141
DRQ,8/15/2019,0.4872,0.4865,0.4868,1,0,390,430
DRRX,8/15/2019,0.0000,0.0000,0.0000,32,30,8853,161
DRV,8/15/2019,0.4771,0.4805,0.4788,35,1,313,145
DRYS,8/15/2019,1.1665,1.0603,1.1134,318,2,7857,1273
DS,8/15/2019,0.4197,0.4612,0.4404,30,6,4705,830
DSKE,8/15/2019,0.8357,0.8358,0.8358,31,0,7102,2732
DSL,8/15/2019,0.3454,0.3368,0.3411,110,107,518,1477
DSPG,8/15/2019,0.1191,0.1149,0.1170,0,0,826,123
DSS,8/15/2019,0.0000,0.0000,0.0000,0,0,213,3
DSX,8/15/2019,0.3789,0.4110,0.3950,5,0,3425,1429
DTE,8/15/2019,0.1783,0.2269,0.2026,38,2,1411,1400
DTEA,8/15/2019,0.0000,0.0000,0.0000,7,0,1802,363
DTN,8/15/2019,0.1878,0.2023,0.1950,1,0,329,0
DUG,8/15/2019,0.5346,0.5258,0.5302,21,1,214,247
DUK,8/15/2019,0.1826,0.1537,0.1682,1778,1069,49611,41567
DUST,8/15/2019,0.9926,1.0134,1.0030,3272,1449,85313,38202
DVA,8/15/2019,0.3961,0.3925,0.3943,26118,29242,139808,142920
DVAX,8/15/2019,0.9794,0.9192,0.9493,539,67,30585,3204
DVN,8/15/2019,0.5110,0.5149,0.5130,2179,1080,79986,45257
DVY,8/15/2019,0.1769,0.1827,0.1798,55,275,2708,3317
DWAS,8/15/2019,0.2550,0.2789,0.2670,0,0,281,340
DWSN,8/15/2019,0.1760,0.1760,0.1760,0,0,105,18
DWX,8/15/2019,0.1700,0.1524,0.1612,1,0,35,16
DX,8/15/2019,0.4936,0.2371,0.3654,0,1,311,337
DXC,8/15/2019,0.4177,0.4579,0.4378,7937,795,100499,66318
DXCM,8/15/2019,0.4342,0.4280,0.4311,405,268,12385,12523
DXD,8/15/2019,0.4293,0.4270,0.4282,388,62,8020,1552
DXJ,8/15/2019,0.2013,0.2042,0.2027,213,4417,17401,24470
DXJS,8/15/2019,0.1754,0.2022,0.1888,0,0,3,5
DXLG,8/15/2019,0.0000,0.0000,0.0000,0,0,22,30
DXPE,8/15/2019,0.4868,0.5008,0.4938,0,10,181,239
DXYN,8/15/2019,0.0000,0.0000,0.0000,0,0,35,1
DY,8/15/2019,0.7140,0.7283,0.7212,104,195,5380,4184
E,8/15/2019,0.3359,0.2850,0.3104,0,2,237,131
EA,8/15/2019,0.3610,0.3547,0.3578,7241,7525,171741,132744
EAF,8/15/2019,0.4771,0.5079,0.4925,11,79,5656,10164
EAT,8/15/2019,0.3858,0.4248,0.4053,1130,355,9659,7904
EB,8/15/2019,0.4867,0.4702,0.4784,139,129,6983,6790
EBAY,8/15/2019,0.2775,0.2852,0.2814,2644,2184,154382,122112
EBF,8/15/2019,0.3374,0.2406,0.2890,10,0,238,55
EBIX,8/15/2019,0.5079,0.5021,0.5050,113,174,10487,9499
EBND,8/15/2019,0.1188,0.1188,0.1188,0,0,62,117
EBS,8/15/2019,0.5417,0.4878,0.5148,0,1,888,183
EBSB,8/15/2019,0.1650,0.3096,0.2373,0,0,1194,371
EC,8/15/2019,0.5635,0.4176,0.4906,0,38,1993,1417
ECA,8/15/2019,0.5940,0.6468,0.6204,2046,3526,573343,409587
ECH,8/15/2019,0.2216,0.2261,0.2238,0,0,410,1418
ECHO,8/15/2019,0.4264,0.4145,0.4204,3,8,695,1509
ECL,8/15/2019,0.2173,0.2371,0.2272,71,210,6323,9396
ECNS,8/15/2019,0.1882,0.1859,0.1870,0,0,1,1
ECOL,8/15/2019,0.3520,0.3499,0.3510,20,5,2094,9961
ECOM,8/15/2019,0.6556,0.3694,0.5125,17,0,1767,152
ECON,8/15/2019,0.2367,0.2426,0.2396,12,0,4,0
ECPG,8/15/2019,0.3642,0.3735,0.3688,9,0,2572,3878
ED,8/15/2019,0.1813,0.1788,0.1800,392,241,10776,9083
EDAP,8/15/2019,0.8526,1.1135,0.9830,40,3,4515,886
EDC,8/15/2019,0.6749,0.6831,0.6790,206,61,4639,2277
EDIT,8/15/2019,0.5945,0.5578,0.5761,298,278,13796,12222
EDIV,8/15/2019,0.2203,0.2250,0.2226,0,0,36,0
EDU,8/15/2019,0.4055,0.4030,0.4042,337,858,7124,16745
EDZ,8/15/2019,0.6959,0.7188,0.7073,25,20,1841,921
EE,8/15/2019,0.6049,0.6078,0.6063,0,0,105,349
EEB,8/15/2019,0.2207,0.2381,0.2294,0,0,26,1
EEFT,8/15/2019,0.3112,0.3084,0.3098,125,131,7671,3766
EEM,8/15/2019,0.2350,0.2211,0.2280,105436,268309,2407949,7162049
EEMV,8/15/2019,0.1604,0.1515,0.1559,0,0,596,846
EET,8/15/2019,0.4682,0.4553,0.4618,5,0,99,22
EEV,8/15/2019,0.4828,0.4309,0.4568,11,0,68,66
EEX,8/15/2019,0.2597,0.2437,0.2517,0,0,22,10
EFA,8/15/2019,0.1627,0.1661,0.1644,115267,158418,1303137,2968989
EFAV,8/15/2019,0.1183,0.1354,0.1268,6,0,1741,547
EFC,8/15/2019,0.1127,0.1961,0.1544,2,15,354,416
EFG,8/15/2019,0.1650,0.1695,0.1672,0,0,0,11
EFII,8/15/2019,0.0000,0.0000,0.0000,0,0,0,20
EFOI,8/15/2019,0.0000,0.0000,0.0000,0,0,311,34
EFSC,8/15/2019,0.3381,0.3288,0.3335,0,0,32,37
EFU,8/15/2019,0.2290,0.2034,0.2162,0,0,0,0
EFV,8/15/2019,0.1796,0.1621,0.1708,0,0,43,7
EFX,8/15/2019,0.2286,0.2371,0.2328,52,71,11542,5842
EFZ,8/15/2019,0.2216,0.2129,0.2172,0,10,12,70
EGAN,8/15/2019,0.8834,0.7693,0.8264,2,3,1196,567
EGBN,8/15/2019,0.3583,0.3888,0.3736,4,2,1057,827
EGHT,8/15/2019,0.3757,0.3558,0.3658,958,130,9991,5791
EGI,8/15/2019,0.0000,0.0000,0.0000,0,3,3,0
EGLE,8/15/2019,0.9240,0.9879,0.9560,15,0,3381,1053
EGO,8/15/2019,0.7033,0.7013,0.7023,1482,61,29360,13220
EGOV,8/15/2019,0.1184,0.1173,0.1178,0,0,2974,913
EGP,8/15/2019,0.2717,0.3261,0.2989,0,0,7,19
EGRX,8/15/2019,0.5271,0.4342,0.4806,1,3,2699,2941
EGY,8/15/2019,0.0000,0.0000,0.0000,0,0,2911,316
EHC,8/15/2019,0.3015,0.2862,0.2938,0,10,1088,1740
EHTH,8/15/2019,0.5565,0.5555,0.5560,106,45,6043,11315
EIDO,8/15/2019,0.2743,0.2840,0.2792,0,0,176,148
EIDX,8/15/2019,0.5056,0.5307,0.5182,1,0,601,723
EIG,8/15/2019,0.4921,0.3176,0.4048,0,0,55,29
EIGI,8/15/2019,0.7845,0.5860,0.6852,100,0,11029,2420
EIGR,8/15/2019,1.5693,0.9078,1.2386,1,0,337,121
EIX,8/15/2019,0.2815,0.2934,0.2874,536,219,29181,41694
EL,8/15/2019,0.3474,0.3583,0.3528,427,470,14978,19261
ELAN,8/15/2019,0.3655,0.3740,0.3698,585,60,16108,24941
ELD,8/15/2019,0.1320,0.1584,0.1452,0,0,7,5
ELF,8/15/2019,0.4999,0.4932,0.4966,52,2007,2914,4533
ELGX,8/15/2019,1.0301,0.8897,0.9599,2,0,588,571
ELOX,8/15/2019,0.0000,0.0000,0.0000,0,0,0,0
ELP,8/15/2019,0.5543,0.2828,0.4186,0,1,381,872
ELS,8/15/2019,0.1779,0.1741,0.1760,45,93,920,1006
ELY,8/15/2019,0.3560,0.3554,0.3557,119,5,4963,2989
EMAN,8/15/2019,0.0000,0.0000,0.0000,0,0,147,2
EMB,8/15/2019,0.0683,0.1057,0.0870,440,12130,31714,134402
EMCI,8/15/2019,0.5298,0.5842,0.5570,0,0,17,46
EME,8/15/2019,0.2696,0.2611,0.2653,1,2,621,82
EMESQ,8/15/2019,0.0000,0.0000,0.0000,0,0,8660,96
EMKR,8/15/2019,0.5313,0.5313,0.5313,0,21,172,131
EMLC,8/15/2019,0.1148,0.1494,0.1321,3,2,50560,3954
EMLP,8/15/2019,0.2986,0.2983,0.2984,0,0,4,0
EMN,8/15/2019,0.3488,0.3627,0.3558,181,137,7803,8296
EMR,8/15/2019,0.3002,0.2977,0.2990,1639,2693,70159,39615
ENB,8/15/2019,0.2334,0.2019,0.2176,943,595,27109,15393
ENBL,8/15/2019,0.3896,0.4524,0.4210,37,983,7146,4150
ENDP,8/15/2019,1.0980,1.1311,1.1146,746,68,77025,52687
ENG,8/15/2019,0.0000,0.0000,0.0000,0,0,45,0
ENIA,8/15/2019,0.5450,0.7281,0.6365,0,0,1,0
ENIC,8/15/2019,1.4350,1.4350,1.4350,0,0,4,0
ENLC,8/15/2019,0.4488,0.4407,0.4448,123,11,11223,2775
ENPH,8/15/2019,0.7419,0.7449,0.7434,3031,1689,90727,30594
ENR,8/15/2019,0.3868,0.3906,0.3887,87,147,9286,6289
ENS,8/15/2019,0.3545,0.3599,0.3572,0,0,1953,1073
ENSG,8/15/2019,0.3421,0.3252,0.3336,11,11,603,103
ENT,8/15/2019,0.0000,0.0000,0.0000,0,0,10945,163
ENTA,8/15/2019,0.7818,0.7550,0.7684,23,8,639,743
ENTG,8/15/2019,0.3491,0.3360,0.3426,37,0,8758,2354
ENV,8/15/2019,0.3374,0.3378,0.3376,145,1,1018,2384
ENVA,8/15/2019,0.4221,0.4146,0.4184,4,2,893,2980
ENZ,8/15/2019,0.9053,0.9026,0.9040,7,0,2056,77
ENZL,8/15/2019,0.0000,0.0000,0.0000,1,0,6,9
EOG,8/15/2019,0.3939,0.3964,0.3952,1578,1554,103525,75882
EOLS,8/15/2019,0.8450,0.8702,0.8576,366,138,14071,5853
EPAM,8/15/2019,0.3170,0.3241,0.3206,70,21,2189,700
EPAY,8/15/2019,0.3995,0.3835,0.3915,0,0,1103,391
EPC,8/15/2019,0.4315,0.4335,0.4325,613,23,33551,4699
EPD,8/15/2019,0.2243,0.2195,0.2219,2922,1423,121886,41932
EPEG,8/15/2019,0.0000,0.0000,0.0000,0,0,1879,205
EPI,8/15/2019,0.2172,0.2071,0.2122,897,2,44811,88188
EPM,8/15/2019,0.9798,0.8371,0.9084,30,19,521,53
EPOL,8/15/2019,0.0000,0.0000,0.0000,0,0,73,0
EPP,8/15/2019,0.1859,0.1828,0.1844,0,0,140,72
EPR,8/15/2019,0.1774,0.2018,0.1896,83,25,2240,8317
EPRT,8/15/2019,0.2608,0.2458,0.2533,42,0,1935,5804
EPV,8/15/2019,0.3601,0.3611,0.3606,23,2,193,575
EPZM,8/15/2019,0.5137,0.5040,0.5088,11,0,3657,1908
EQC,8/15/2019,0.2298,0.1677,0.1987,2,0,574,41
EQH,8/15/2019,0.3213,0.2985,0.3099,581,14,3773,465
EQIX,8/15/2019,0.2261,0.2517,0.2389,124,620,4607,11564
EQM,8/15/2019,0.3483,0.3648,0.3566,66,57,9268,2963
EQNR,8/15/2019,0.7178,0.3671,0.5424,28,110,911,898
EQR,8/15/2019,0.1914,0.2191,0.2052,57,6,3160,3311
EQT,8/15/2019,0.6364,0.6069,0.6216,204,9933,30178,34868
ERA,8/15/2019,0.5705,0.5689,0.5697,0,0,280,3021
ERF,8/15/2019,0.5053,0.5193,0.5123,12,4,6948,21077
ERI,8/15/2019,0.4274,0.4506,0.4390,96,35,36109,14564
ERIC,8/15/2019,0.2802,0.2700,0.2751,377,220,42933,15835
ERIE,8/15/2019,0.2952,0.3280,0.3116,1,70,340,767
ERII,8/15/2019,0.6766,0.4169,0.5468,34,15,1989,1156
ERJ,8/15/2019,0.2180,0.3387,0.2784,34,165,10104,40317
EROS,8/15/2019,1.9175,1.4987,1.7081,856,0,61655,40438
ERUS,8/15/2019,0.0000,0.0000,0.0000,0,0,66,75
ERX,8/15/2019,0.7869,0.7811,0.7840,2210,448,26379,13453
ERY,8/15/2019,0.6115,0.8055,0.7085,145,77,2802,1293
ES,8/15/2019,0.1676,0.2107,0.1891,41,6,5352,1004
ESCA,8/15/2019,0.2895,0.3196,0.3046,0,0,32,8
ESE,8/15/2019,0.3804,0.2937,0.3370,0,0,341,12
ESI,8/15/2019,0.4378,0.4590,0.4484,0,17,45952,6807
ESNT,8/15/2019,0.3338,0.3377,0.3358,27,4,1237,790
ESPR,8/15/2019,0.5121,0.4980,0.5050,96,34,10971,6623
ESRT,8/15/2019,0.2872,0.2882,0.2877,2,2,952,3120
ESS,8/15/2019,0.2020,0.1933,0.1976,396,14,2543,3426
ESTC,8/15/2019,0.5611,0.5330,0.5470,204,762,11475,7904
ET,8/15/2019,0.3062,0.3068,0.3065,2999,4844,362785,103982
ETFC,8/15/2019,0.3361,0.3619,0.3490,1186,826,37475,31316
ETH,8/15/2019,0.3999,0.3683,0.3841,0,26,1292,1833
ETM,8/15/2019,0.7129,0.9223,0.8176,213,86,13775,8150
ETN,8/15/2019,0.2804,0.2686,0.2745,2990,319,32902,17641
ETR,8/15/2019,0.1916,0.1774,0.1845,180,132,3137,4243
ETRN,8/15/2019,0.7908,0.7506,0.7707,37,21,22739,554
ETSY,8/15/2019,0.5249,0.5149,0.5199,831,1167,44893,39828
EUFN,8/15/2019,0.2334,0.2472,0.2403,310,623,3386,9496
EUM,8/15/2019,0.1970,0.1802,0.1886,2,0,60,1
EUO,8/15/2019,0.1302,0.1276,0.1289,896,4,8397,2321
EURL,8/15/2019,0.5525,0.5198,0.5362,0,0,62,0
EURN,8/15/2019,0.5265,0.3701,0.4483,0,1,1381,181
EV,8/15/2019,0.3595,0.3742,0.3668,2,35,1301,359
EVA,8/15/2019,0.1443,0.1043,0.1243,0,6,187,420
EVBG,8/15/2019,0.5128,0.5609,0.5369,14,14,1555,1773
EVC,8/15/2019,0.7002,0.7002,0.7002,0,5,319,1312
EVH,8/15/2019,1.0222,0.8784,0.9503,2918,2,42169,4028
EVIX,8/15/2019,0.6030,0.8305,0.7168,0,0,19,71
EVOP,8/15/2019,0.3826,0.4167,0.3996,0,4,687,1284
EVR,8/15/2019,0.3603,0.3704,0.3654,112,208,607,2838
EVRG,8/15/2019,0.1658,0.1894,0.1776,52,50,1208,659
EVRI,8/15/2019,0.6493,0.5973,0.6233,127,4507,11302,8228
EVTC,8/15/2019,0.3340,0.3190,0.3265,108,35,1943,905
EW,8/15/2019,0.2605,0.2571,0.2588,742,339,14164,13357
EWA,8/15/2019,0.1835,0.1891,0.1863,64,42,1014,34925
EWBC,8/15/2019,0.3776,0.3759,0.3768,40,17,1627,2444
EWC,8/15/2019,0.1688,0.1670,0.1679,0,0,5820,19259
EWD,8/15/2019,0.2333,0.2574,0.2454,0,6,233,192
EWG,8/15/2019,0.2145,0.2154,0.2150,188,595,21668,24827
EWH,8/15/2019,0.2716,0.2779,0.2748,37992,27934,28123,137150
EWI,8/15/2019,0.2364,0.2377,0.2370,0,154,361,5371
EWJ,8/15/2019,0.1615,0.1591,0.1603,9766,5100,68331,128117
EWK,8/15/2019,0.2547,0.2460,0.2503,0,0,80,80
EWL,8/15/2019,0.1855,0.1821,0.1838,2,0,110,781
EWM,8/15/2019,0.2253,0.1475,0.1864,0,0,158,347
EWN,8/15/2019,0.1755,0.1846,0.1800,0,0,0,0
EWP,8/15/2019,0.2256,0.2336,0.2296,5,4,257,247
EWQ,8/15/2019,0.2249,0.2252,0.2250,0,14,39,387
EWS,8/15/2019,0.1918,0.2099,0.2008,0,2,721,733
EWT,8/15/2019,0.2088,0.1941,0.2015,100,55,4894,16250
EWU,8/15/2019,0.1803,0.1845,0.1824,8,952,31082,16892
EWV,8/15/2019,0.3895,0.3034,0.3465,0,0,7,0
EWW,8/15/2019,0.2387,0.2591,0.2489,3352,18600,150482,266316
EWX,8/15/2019,0.1919,0.1785,0.1852,0,1,91,42
EWY,8/15/2019,0.2221,0.2291,0.2256,74,694,31787,66412
EWZ,8/15/2019,0.3433,0.3414,0.3424,115035,55935,2047334,1513168
EXAS,8/15/2019,0.4277,0.4162,0.4220,1318,834,31113,72527
EXC,8/15/2019,0.2247,0.1907,0.2077,2051,611,72199,27995
EXEL,8/15/2019,0.4410,0.4275,0.4342,7273,175,85649,36441
EXK,8/15/2019,0.8200,0.8201,0.8200,1587,17,26842,2497
EXLS,8/15/2019,0.2956,0.2888,0.2922,0,0,78,166
EXP,8/15/2019,0.3370,0.3458,0.3414,1,3,5134,3192
EXPD,8/15/2019,0.2495,0.2441,0.2468,32,32,1926,4250
EXPE,8/15/2019,0.2624,0.2636,0.2630,221,672,30269,41641
EXPO,8/15/2019,0.2317,0.2408,0.2362,35,3,1072,110
EXPR,8/15/2019,0.8595,0.8951,0.8773,220,25,6626,1730
EXR,8/15/2019,0.1808,0.2131,0.1970,95,11,2029,800
EXTN,8/15/2019,0.5252,0.6854,0.6053,93,0,180,14
EXTR,8/15/2019,0.5203,0.5192,0.5197,3,23,6568,17970
EYE,8/15/2019,0.5408,0.4306,0.4857,4,167,3723,1119
EYES,8/15/2019,0.0000,0.0000,0.0000,0,0,713,104
EYPT,8/15/2019,0.0000,0.0000,0.0000,4,0,6089,800
EZA,8/15/2019,0.3466,0.3492,0.3479,27,7,5150,7969
EZJ,8/15/2019,0.0000,0.0000,0.0000,0,0,0,0
EZPW,8/15/2019,0.5983,0.5350,0.5667,0,1500,2335,10541
EZU,8/15/2019,0.1957,0.1940,0.1949,11,39,292,817
F,8/15/2019,0.3150,0.2808,0.2979,31149,39311,936237,969693
FAF,8/15/2019,0.3800,0.2400,0.3100,0,5,194,72
FANG,8/15/2019,0.4181,0.4127,0.4154,718,938,46055,44643
FANH,8/15/2019,0.5400,0.6063,0.5732,8,4,1766,1964
FARO,8/15/2019,0.4304,0.4235,0.4270,0,1,329,170
FAS,8/15/2019,0.5190,0.5223,0.5207,2216,1330,36892,21073
FAST,8/15/2019,0.3132,0.3099,0.3116,76,607,34131,31369
FATE,8/15/2019,0.7427,0.6757,0.7092,11,20,5019,4730
FAZ,8/15/2019,0.5003,0.5202,0.5102,971,112,42331,36111
FB,8/15/2019,0.3131,0.3140,0.3136,134335,93538,1383551,947465
FBC,8/15/2019,0.2789,0.2593,0.2691,0,0,378,151
FBHS,8/15/2019,0.3202,0.3323,0.3262,9,68,3385,3983
FBIZ,8/15/2019,0.5296,0.3329,0.4312,0,0,6,1
FBM,8/15/2019,0.5463,0.4319,0.4891,0,4072,173,4109
FBNC,8/15/2019,0.2379,0.2645,0.2512,0,0,1207,9
FBP,8/15/2019,0.3791,0.3975,0.3883,0,2,1256,3567
FBT,8/15/2019,0.2548,0.2548,0.2548,35,0,250,202
FC,8/15/2019,0.3006,0.3045,0.3026,6,6,3230,838
FCA,8/15/2019,0.0000,0.0000,0.0000,0,0,2,1
FCAU,8/15/2019,0.3587,0.3503,0.3545,297,261,339516,197294
FCBC,8/15/2019,0.3615,0.3122,0.3368,0,0,24,0
FCEL,8/15/2019,2.6532,2.9365,2.7949,325,49,21767,2766
FCF,8/15/2019,0.4722,0.2573,0.3648,0,0,129,22
FCFS,8/15/2019,0.2882,0.2759,0.2821,5,10,257,271
FCG,8/15/2019,0.3721,0.3996,0.3859,40,10,1295,1623
FCN,8/15/2019,0.2696,0.2674,0.2685,71,6,1334,1303
FCPT,8/15/2019,0.4476,0.2583,0.3530,0,0,581,15
FCX,8/15/2019,0.4909,0.4780,0.4844,40855,16604,622901,561195
FDIS,8/15/2019,0.4005,0.3289,0.3647,5,0,121,13
FDL,8/15/2019,0.3281,0.5116,0.4199,0,0,20,12
FDN,8/15/2019,0.2922,0.2949,0.2936,166,149,6987,4516
FDP,8/15/2019,0.4535,0.4596,0.4566,24,20,1046,7812
FDS,8/15/2019,0.2434,0.2713,0.2573,75,110,2492,5169
FDUS,8/15/2019,0.2200,0.3806,0.3003,0,0,462,138
FDX,8/15/2019,0.3376,0.3534,0.3455,9961,8247,98866,90853
FE,8/15/2019,0.2020,0.1906,0.1963,147,290,18093,23771
FELE,8/15/2019,0.2845,0.2682,0.2764,5,0,272,329
FELP,8/15/2019,0.0000,0.0000,0.0000,0,0,1720,170
FEM,8/15/2019,0.2455,0.2642,0.2548,0,0,54,65
FENC,8/15/2019,0.3985,0.4509,0.4247,0,0,608,38
FENG,8/15/2019,1.1828,1.1828,1.1828,2,20,748,48
FENY,8/15/2019,0.0000,0.0000,0.0000,0,0,78,17
FEP,8/15/2019,0.1305,0.1305,0.1305,2,0,2,10
FET,8/15/2019,0.0000,0.0000,0.0000,0,0,191,54
FEX,8/15/2019,0.2295,0.2083,0.2189,1,0,10,3
FEYE,8/15/2019,0.4463,0.4195,0.4329,3872,1591,95995,83259
FEZ,8/15/2019,0.1999,0.2066,0.2032,240,5820,66537,101155
FF,8/15/2019,0.3431,0.4217,0.3824,4,8,662,821
FFBC,8/15/2019,0.5654,0.4031,0.4842,0,0,238,1242
FFG,8/15/2019,0.3457,0.5574,0.4516,0,0,37,0
FFIC,8/15/2019,0.3775,0.3619,0.3697,0,0,2,7
FFIN,8/15/2019,0.2347,0.2500,0.2424,0,0,260,879
FFIV,8/15/2019,0.3224,0.3132,0.3178,385,59,5344,4398
FFNW,8/15/2019,0.4748,0.4452,0.4600,0,0,4,8
FFTY,8/15/2019,0.3612,0.4133,0.3872,6,2,629,274
FG,8/15/2019,0.3150,0.3209,0.3180,0,0,308,0
FGEN,8/15/2019,0.6515,0.6415,0.6465,65,301,8750,9765
FGP,8/15/2019,0.0000,0.0000,0.0000,0,0,3079,154
FHB,8/15/2019,0.2642,0.3220,0.2931,0,4,714,220
FHLC,8/15/2019,0.1874,0.2354,0.2114,5,0,86,15
FHN,8/15/2019,0.2898,0.3067,0.2982,476,73,20906,14402
FI,8/15/2019,0.5511,0.5494,0.5502,0,0,104,1025
FIBK,8/15/2019,0.3722,0.2605,0.3164,0,0,393,30
FICO,8/15/2019,0.3422,0.3299,0.3360,339,94,2540,10587
FIDU,8/15/2019,0.0000,0.0000,0.0000,0,0,10,0
FII,8/15/2019,0.3141,0.3067,0.3104,0,0,1860,268
FIS,8/15/2019,0.2489,0.2568,0.2528,2978,1004,17492,21402
FISI,8/15/2019,0.5446,0.3557,0.4502,0,0,19,0
FISV,8/15/2019,0.2549,0.2565,0.2557,3299,1516,54208,39900
FIT,8/15/2019,0.6154,0.5596,0.5875,8462,4773,144579,36859
FITB,8/15/2019,0.3065,0.3114,0.3090,7164,3981,35185,19663
FIVE,8/15/2019,0.5551,0.5474,0.5512,2653,472,25504,11106
